,0
智度股份(000676),sz000676
恒天海龙(000677),sz000677
襄阳轴承(000678),sz000678
大连友谊(000679),sz000679
山推股份(000680),sz000680
视觉中国(000681),sz000681
东方电子(000682),sz000682
远兴能源(000683),sz000683
中山公用(000685),sz000685
东北证券(000686),sz000686
*ST华讯(000687),sz000687
国城矿业(000688),sz000688
宝新能源(000690),sz000690
亚太实业(000691),sz000691
惠天热电(000692),sz000692
华泽退(000693),sz000693
滨海能源(000695),sz000695
炼石航空(000697),sz000697
沈阳化工(000698),sz000698
模塑科技(000700),sz000700
厦门信达(000701),sz000701
正虹科技(000702),sz000702
恒逸石化(000703),sz000703
浙江震元(000705),sz000705
*ST双环(000707),sz000707
中信特钢(000708),sz000708
河钢股份(000709),sz000709
贝瑞基因(000710),sz000710
京蓝科技(000711),sz000711
锦龙股份(000712),sz000712
丰乐种业(000713),sz000713
中兴商业(000715),sz000715
黑芝麻(000716),sz000716
韶钢松山(000717),sz000717
苏宁环球(000718),sz000718
中原传媒(000719),sz000719
新能泰山(000720),sz000720
西安饮食(000721),sz000721
湖南发展(000722),sz000722
美锦能源(000723),sz000723
京东方A(000725),sz000725
鲁泰A(000726),sz000726
冠捷科技(000727),sz000727
国元证券(000728),sz000728
燕京啤酒(000729),sz000729
四川美丰(000731),sz000731
泰禾集团(000732),sz000732
振华科技(000733),sz000733
罗牛山(000735),sz000735
中交地产(000736),sz000736
南风化工(000737),sz000737
航发控制(000738),sz000738
普洛药业(000739),sz000739
长城信息(000748),sz000748
国海证券(000750),sz000750
锌业股份(000751),sz000751
*ST西发(000752),sz000752
漳州发展(000753),sz000753
山西路桥(000755),sz000755
新华制药(000756),sz000756
浩物股份(000757),sz000757
中色股份(000758),sz000758
中百集团(000759),sz000759
斯太退(000760),sz000760
本钢板材(000761),sz000761
西藏矿业(000762),sz000762
通化金马(000766),sz000766
晋控电力(000767),sz000767
中航西飞(000768),sz000768
广发证券(000776),sz000776
中核科技(000777),sz000777
新兴铸管(000778),sz000778
甘咨询(000779),sz000779
ST平能(000780),sz000780
美达股份(000782),sz000782
长江证券(000783),sz000783
居然之家(000785),sz000785
北新建材(000786),sz000786
北大医药(000788),sz000788
万年青(000789),sz000789
华神科技(000790),sz000790
甘肃电投(000791),sz000791
盐湖股份(000792),sz000792
华闻集团(000793),sz000793
英洛华(000795),sz000795
凯撒旅业(000796),sz000796
中国武夷(000797),sz000797
中水渔业(000798),sz000798
酒鬼酒(000799),sz000799
一汽解放(000800),sz000800
四川九洲(000801),sz000801
ST北文(000802),sz000802
北清环能(000803),sz000803
ST银河(000806),sz000806
云铝股份(000807),sz000807
铁岭新城(000809),sz000809
创维数字(000810),sz000810
冰轮环境(000811),sz000811
陕西金叶(000812),sz000812
德展健康(000813),sz000813
美利云(000815),sz000815
智慧农业(000816),sz000816
航锦科技(000818),sz000818
岳阳兴长(000819),sz000819
*ST节能(000820),sz000820
京山轻机(000821),sz000821
山东海化(000822),sz000822
超声电子(000823),sz000823
太钢不锈(000825),sz000825
启迪环境(000826),sz000826
东莞控股(000828),sz000828
天音控股(000829),sz000829
鲁西化工(000830),sz000830
五矿稀土(000831),sz000831
粤桂股份(000833),sz000833
*ST长动(000835),sz000835
富通信息(000836),sz000836
秦川机床(000837),sz000837
财信发展(000838),sz000838
中信国安(000839),sz000839
承德露露(000848),sz000848
华茂股份(000850),sz000850
高鸿股份(000851),sz000851
石化机械(000852),sz000852
冀东装备(000856),sz000856
五粮液(000858),sz000858
国风塑业(000859),sz000859
顺鑫农业(000860),sz000860
海印股份(000861),sz000861
银星能源(000862),sz000862
三湘印象(000863),sz000863
安凯客车(000868),sz000868
张裕A(000869),sz000869
吉电股份(000875),sz000875
新希望(000876),sz000876
天山股份(000877),sz000877
云南铜业(000878),sz000878
潍柴重机(000880),sz000880
中广核技(000881),sz000881
华联股份(000882),sz000882
湖北能源(000883),sz000883
城发环境(000885),sz000885
海南高速(000886),sz000886
中鼎股份(000887),sz000887
峨眉山A(000888),sz000888
中嘉博创(000889),sz000889
法尔胜(000890),sz000890
欢瑞世纪(000892),sz000892
亚钾国际(000893),sz000893
双汇发展(000895),sz000895
津滨发展(000897),sz000897
鞍钢股份(000898),sz000898
赣能股份(000899),sz000899
现代投资(000900),sz000900
航天科技(000901),sz000901
新洋丰(000902),sz000902
云内动力(000903),sz000903
厦门港务(000905),sz000905
浙商中拓(000906),sz000906
景峰医药(000908),sz000908
数源科技(000909),sz000909
大亚圣象(000910),sz000910
南宁糖业(000911),sz000911
泸天化(000912),sz000912
钱江摩托(000913),sz000913
华特达因(000915),sz000915
华北高速(000916),sz000916
电广传媒(000917),sz000917
嘉凯城(000918),sz000918
金陵药业(000919),sz000919
南方汇通(000920),sz000920
海信家电(000921),sz000921
佳电股份(000922),sz000922
河钢资源(000923),sz000923
众合科技(000925),sz000925
福星股份(000926),sz000926
中国铁物(000927),sz000927
中钢国际(000928),sz000928
兰州黄河(000929),sz000929
中粮科技(000930),sz000930
中关村(000931),sz000931
华菱钢铁(000932),sz000932
神火股份(000933),sz000933
四川双马(000935),sz000935
华西股份(000936),sz000936
冀中能源(000937),sz000937
紫光股份(000938),sz000938
凯迪退(000939),sz000939
南天信息(000948),sz000948
新乡化纤(000949),sz000949
重药控股(000950),sz000950
中国重汽(000951),sz000951
广济药业(000952),sz000952
河化股份(000953),sz000953
欣龙控股(000955),sz000955
中通客车(000957),sz000957
东方能源(000958),sz000958
首钢股份(000959),sz000959
锡业股份(000960),sz000960
中南建设(000961),sz000961
东方钽业(000962),sz000962
华东医药(000963),sz000963
天保基建(000965),sz000965
长源电力(000966),sz000966
盈峰环境(000967),sz000967
蓝焰控股(000968),sz000968
安泰科技(000969),sz000969
中科三环(000970),sz000970
ST高升(000971),sz000971
*ST中基(000972),sz000972
佛塑科技(000973),sz000973
银泰黄金(000975),sz000975
华铁股份(000976),sz000976
浪潮信息(000977),sz000977
桂林旅游(000978),sz000978
中弘退(000979),sz000979
*ST众泰(000980),sz000980
*ST银亿(000981),sz000981
中银绒业(000982),sz000982
山西焦煤(000983),sz000983
大庆华科(000985),sz000985
越秀金控(000987),sz000987
华工科技(000988),sz000988
九芝堂(000989),sz000989
诚志股份(000990),sz000990
闽东电力(000993),sz000993
皇台酒业(000995),sz000995
中国中期(000996),sz000996
新大陆(000997),sz000997
隆平高科(000998),sz000998
华润三九(000999),sz000999
新和成(002001),sz002001
鸿达兴业(002002),sz002002
伟星股份(002003),sz002003
华邦健康(002004),sz002004
ST德豪(002005),sz002005
精功科技(002006),sz002006
华兰生物(002007),sz002007
大族激光(002008),sz002008
天奇股份(002009),sz002009
传化智联(002010),sz002010
盾安环境(002011),sz002011
凯恩股份(002012),sz002012
中航机电(002013),sz002013
永新股份(002014),sz002014
协鑫能科(002015),sz002015
世荣兆业(002016),sz002016
东信和平(002017),sz002017
华信退(002018),sz002018
亿帆医药(002019),sz002019
京新药业(002020),sz002020
ST中捷(002021),sz002021
科华生物(002022),sz002022
海特高新(002023),sz002023
苏宁易购(002024),sz002024
航天电器(002025),sz002025
山东威达(002026),sz002026
分众传媒(002027),sz002027
思源电气(002028),sz002028
七匹狼(002029),sz002029
达安基因(002030),sz002030
巨轮智能(002031),sz002031
苏泊尔(002032),sz002032
丽江股份(002033),sz002033
旺能环境(002034),sz002034
华帝股份(002035),sz002035
联创电子(002036),sz002036
保利联合(002037),sz002037
双鹭药业(002038),sz002038
黔源电力(002039),sz002039
南京港(002040),sz002040
登海种业(002041),sz002041
华孚时尚(002042),sz002042
兔宝宝(002043),sz002043
美年健康(002044),sz002044
国光电器(002045),sz002045
国机精工(002046),sz002046
宝鹰股份(002047),sz002047
宁波华翔(002048),sz002048
紫光国微(002049),sz002049
三花智控(002050),sz002050
中工国际(002051),sz002051
ST同洲(002052),sz002052
云南能投(002053),sz002053
德美化工(002054),sz002054
得润电子(002055),sz002055
横店东磁(002056),sz002056
中钢天源(002057),sz002057
*ST威尔(002058),sz002058
云南旅游(002059),sz002059
粤水电(002060),sz002060
浙江交科(002061),sz002061
宏润建设(002062),sz002062
远光软件(002063),sz002063
华峰化学(002064),sz002064
东华软件(002065),sz002065
瑞泰科技(002066),sz002066
景兴纸业(002067),sz002067
黑猫股份(002068),sz002068
獐子岛(002069),sz002069
众和退(002070),sz002070
长城退(002071),sz002071
*ST凯瑞(002072),sz002072
软控股份(002073),sz002073
国轩高科(002074),sz002074
沙钢股份(002075),sz002075
ST雪莱(002076),sz002076
大港股份(002077),sz002077
太阳纸业(002078),sz002078
苏州固锝(002079),sz002079
中材科技(002080),sz002080
金螳螂(002081),sz002081
万邦德(002082),sz002082
孚日股份(002083),sz002083
海鸥住工(002084),sz002084
万丰奥威(002085),sz002085
*ST东洋(002086),sz002086
新野纺织(002087),sz002087
鲁阳节能(002088),sz002088
ST新海(002089),sz002089
金智科技(002090),sz002090
江苏国泰(002091),sz002091
中泰化学(002092),sz002092
国脉科技(002093),sz002093
青岛金王(002094),sz002094
生意宝(002095),sz002095
南岭民爆(002096),sz002096
山河智能(002097),sz002097
浔兴股份(002098),sz002098
海翔药业(002099),sz002099
天康生物(002100),sz002100
广东鸿图(002101),sz002101
ST冠福(002102),sz002102
广博股份(002103),sz002103
恒宝股份(002104),sz002104
信隆健康(002105),sz002105
莱宝高科(002106),sz002106
沃华医药(002107),sz002107
沧州明珠(002108),sz002108
兴化股份(002109),sz002109
三钢闽光(002110),sz002110
威海广泰(002111),sz002111
三变科技(002112),sz002112
ST天润(002113),sz002113
罗平锌电(002114),sz002114
三维通信(002115),sz002115
中国海诚(002116),sz002116
东港股份(002117),sz002117
紫鑫药业(002118),sz002118
康强电子(002119),sz002119
韵达股份(002120),sz002120
科陆电子(002121),sz002121
ST天马(002122),sz002122
梦网科技(002123),sz002123
天邦股份(002124),sz002124
湘潭电化(002125),sz002125
银轮股份(002126),sz002126
南极电商(002127),sz002127
露天煤业(002128),sz002128
中环股份(002129),sz002129
沃尔核材(002130),sz002130
利欧股份(002131),sz002131
恒星科技(002132),sz002132
广宇集团(002133),sz002133
天津普林(002134),sz002134
东南网架(002135),sz002135
安纳达(002136),sz002136
实益达(002137),sz002137
顺络电子(002138),sz002138
拓邦股份(002139),sz002139
东华科技(002140),sz002140
贤丰控股(002141),sz002141
宁波银行(002142),sz002142
印纪退(002143),sz002143
宏达高科(002144),sz002144
中核钛白(002145),sz002145
荣盛发展(002146),sz002146
*ST新光(002147),sz002147
北纬科技(002148),sz002148
西部材料(002149),sz002149
通润装备(002150),sz002150
北斗星通(002151),sz002151
广电运通(002152),sz002152
石基信息(002153),sz002153
报喜鸟(002154),sz002154
湖南黄金(002155),sz002155
通富微电(002156),sz002156
正邦科技(002157),sz002157
汉钟精机(002158),sz002158
三特索道(002159),sz002159
常铝股份(002160),sz002160
远望谷(002161),sz002161
悦心健康(002162),sz002162
海南发展(002163),sz002163
宁波东力(002164),sz002164
红宝丽(002165),sz002165
莱茵生物(002166),sz002166
东方锆业(002167),sz002167
惠程科技(002168),sz002168
智光电气(002169),sz002169
芭田股份(002170),sz002170
楚江新材(002171),sz002171
澳洋健康(002172),sz002172
创新医疗(002173),sz002173
游族网络(002174),sz002174
*ST东网(002175),sz002175
江特电机(002176),sz002176
御银股份(002177),sz002177
延华智能(002178),sz002178
中航光电(002179),sz002179
纳思达(002180),sz002180
粤传媒(002181),sz002181
云海金属(002182),sz002182
怡亚通(002183),sz002183
海得控制(002184),sz002184
华天科技(002185),sz002185
全聚德(002186),sz002186
广百股份(002187),sz002187
*ST巴士(002188),sz002188
中光学(002189),sz002189
成飞集成(002190),sz002190
劲嘉股份(002191),sz002191
融捷股份(002192),sz002192
如意集团(002193),sz002193
武汉凡谷(002194),sz002194
二三四五(002195),sz002195
方正电机(002196),sz002196
证通电子(002197),sz002197
嘉应制药(002198),sz002198
东晶电子(002199),sz002199
ST云投(002200),sz002200
九鼎新材(002201),sz002201
金风科技(002202),sz002202
海亮股份(002203),sz002203
大连重工(002204),sz002204
国统股份(002205),sz002205
海利得(002206),sz002206
准油股份(002207),sz002207
合肥城建(002208),sz002208
达意隆(002209),sz002209
*ST飞马(002210),sz002210
宏达新材(002211),sz002211
天融信(002212),sz002212
大为股份(002213),sz002213
大立科技(002214),sz002214
诺普信(002215),sz002215
三全食品(002216),sz002216
合力泰(002217),sz002217
拓日新能(002218),sz002218
*ST恒康(002219),sz002219
天宝退(002220),sz002220
东华能源(002221),sz002221
福晶科技(002222),sz002222
鱼跃医疗(002223),sz002223
三力士(002224),sz002224
濮耐股份(002225),sz002225
江南化工(002226),sz002226
奥特迅(002227),sz002227
合兴包装(002228),sz002228
鸿博股份(002229),sz002229
科大讯飞(002230),sz002230
奥维通信(002231),sz002231
启明信息(002232),sz002232
塔牌集团(002233),sz002233
民和股份(002234),sz002234
安妮股份(002235),sz002235
大华股份(002236),sz002236
恒邦股份(002237),sz002237
天威视讯(002238),sz002238
奥特佳(002239),sz002239
盛新锂能(002240),sz002240
歌尔股份(002241),sz002241
九阳股份(002242),sz002242
力合科创(002243),sz002243
滨江集团(002244),sz002244
蔚蓝锂芯(002245),sz002245
北化股份(002246),sz002246
聚力文化(002247),sz002247
华东数控(002248),sz002248
大洋电机(002249),sz002249
联化科技(002250),sz002250
步步高(002251),sz002251
上海莱士(002252),sz002252
川大智胜(002253),sz002253
泰和新材(002254),sz002254
海陆重工(002255),sz002255
兆新股份(002256),sz002256
利尔化学(002258),sz002258
*ST升达(002259),sz002259
*ST德奥(002260),sz002260
拓维信息(002261),sz002261
恩华药业(002262),sz002262
大东南(002263),sz002263
新华都(002264),sz002264
西仪股份(002265),sz002265
浙富控股(002266),sz002266
陕天然气(002267),sz002267
卫士通(002268),sz002268
美邦服饰(002269),sz002269
华明装备(002270),sz002270
东方雨虹(002271),sz002271
川润股份(002272),sz002272
水晶光电(002273),sz002273
华昌化工(002274),sz002274
桂林三金(002275),sz002275
万马股份(002276),sz002276
友阿股份(002277),sz002277
神开股份(002278),sz002278
久其软件(002279),sz002279
联络互动(002280),sz002280
光迅科技(002281),sz002281
博深股份(002282),sz002282
天润工业(002283),sz002283
亚太股份(002284),sz002284
世联行(002285),sz002285
保龄宝(002286),sz002286
奇正藏药(002287),sz002287
超华科技(002288),sz002288
宇顺电子(002289),sz002289
禾盛新材(002290),sz002290
星期六(002291),sz002291
奥飞娱乐(002292),sz002292
罗莱生活(002293),sz002293
信立泰(002294),sz002294
精艺股份(002295),sz002295
辉煌科技(002296),sz002296
博云新材(002297),sz002297
中电兴发(002298),sz002298
圣农发展(002299),sz002299
太阳电缆(002300),sz002300
齐心集团(002301),sz002301
西部建设(002302),sz002302
美盈森(002303),sz002303
洋河股份(002304),sz002304
南国置业(002305),sz002305
中科云网(002306),sz002306
北新路桥(002307),sz002307
威创股份(002308),sz002308
中利集团(002309),sz002309
东方园林(002310),sz002310
海大集团(002311),sz002311
川发龙蟒(002312),sz002312
日海智能(002313),sz002313
南山控股(002314),sz002314
焦点科技(002315),sz002315
亚联发展(002316),sz002316
众生药业(002317),sz002317
久立特材(002318),sz002318
乐通股份(002319),sz002319
海峡股份(002320),sz002320
*ST华英(002321),sz002321
理工环科(002322),sz002322
*ST雅博(002323),sz002323
普利特(002324),sz002324
洪涛股份(002325),sz002325
永太科技(002326),sz002326
富安娜(002327),sz002327
新朋股份(002328),sz002328
皇氏集团(002329),sz002329
得利斯(002330),sz002330
皖通科技(002331),sz002331
仙琚制药(002332),sz002332
罗普斯金(002333),sz002333
英威腾(002334),sz002334
科华数据(002335),sz002335
人人乐(002336),sz002336
赛象科技(002337),sz002337
奥普光电(002338),sz002338
积成电子(002339),sz002339
格林美(002340),sz002340
新纶科技(002341),sz002341
巨力索具(002342),sz002342
慈文传媒(002343),sz002343
海宁皮城(002344),sz002344
潮宏基(002345),sz002345
柘中股份(002346),sz002346
泰尔股份(002347),sz002347
高乐股份(002348),sz002348
精华制药(002349),sz002349
北京科锐(002350),sz002350
漫步者(002351),sz002351
顺丰控股(002352),sz002352
杰瑞股份(002353),sz002353
天神娱乐(002354),sz002354
兴民智通(002355),sz002355
*ST赫美(002356),sz002356
富临运业(002357),sz002357
ST森源(002358),sz002358
北讯退(002359),sz002359
同德化工(002360),sz002360
神剑股份(002361),sz002361
汉王科技(002362),sz002362
隆基机械(002363),sz002363
中恒电气(002364),sz002364
永安药业(002365),sz002365
台海核电(002366),sz002366
康力电梯(002367),sz002367
太极股份(002368),sz002368
卓翼科技(002369),sz002369
亚太药业(002370),sz002370
北方华创(002371),sz002371
伟星新材(002372),sz002372
千方科技(002373),sz002373
中锐股份(002374),sz002374
